ResponseId,simMetric,all A,split 50-50,split ratio,StateAcr,Gender,Education,Race,Community,Age,PoliticalAffliation,mTurkCode
R_3Pzzh6gC8Sd7Ns8,50-55,5.6,3.9,7.3,CA,Male,Graduate degree,White,City or urban community,30,Independent,5325715
R_1mqOnyyJ1XG9xSc,90-10,7.1,6.2,7.5,PA,Female,Associate degree,White,Suburban community,43,Independent,5665828
R_DpMPwTZkdRmI6rv,70-40,6.6,7.9,9,MO,Male,Some college but no degree,White,Rural community,20,Republican Party,1835464
R_2QiAqlCTTatdXlz,100-20,3,6,7.5,PA,Female,Bachelor degree,White,Suburban community,38,Independent,4664415
R_DIuuPyMhWhEpkD7,90-10,8.8,1.4,9,TX,Male,Some college but no degree,"Spanish, Hispanic, or Latino",Suburban community,48,Republican Party,5184555
R_1IiS7cWgLd4vXPO,100-20,1,1,1,MS,Female,Associate degree,Black or African-American,City or urban community,46,Democratic party,1250926
R_9uzufUelFx2Wbu1,50-55,1.9,8.2,8.2,PA,Female,Graduate degree,White,Suburban community,59,Democratic party,1166128
R_1lfvruLOHqKnVsg,90-10,9,3.8,6.5,PA,Female,Associate degree,White,Suburban community,47,Republican Party,6912792
R_3RmzdhlTse4osMZ,50-55,1,9,7.2,MO,Female,Some college but no degree,White,Suburban community,27,Democratic party,5014176
R_DwrOrcRdB5WvbXz,100-20,9,1,7,IL,Male,Graduate degree,White,City or urban community,27,Independent,9540217
R_C3Vr96tYbU5egmJ,70-40,1,3.2,7.2,OR,Male,Associate degree,White,City or urban community,45,Democratic party,8211690
R_1gjUMFk4PHQk30T,50-55,8,4,6.1,MI,Female,Bachelor degree,White,Rural community,55,Republican Party,36222
R_DpXfP8kDgKbBCqR,70-40,4.3,2.7,7.1,MA,Female,Bachelor degree,White,Suburban community,46,Republican Party,2778320
R_1FCEGbkPqgDxeyJ,70-40,9,7.5,9,FL,Female,Some college but no degree,White,City or urban community,24,Independent,1555492
R_3NQhzF6K2BxHxP7,90-10,1,9,7,PA,Female,Associate degree,White,Suburban community,22,Democratic party,9394236
R_1CfKTbZATnGHIKu,100-20,3.5,7.2,7.2,NC,Female,Bachelor degree,White,Rural community,44,Democratic party,9183349
R_QiviAi8SgCD9Iyd,70-40,9,3.9,9,WA,Male,Bachelor degree,White,City or urban community,55,Independent,577416
R_1LSxtkrJiTpU435,90-10,8.7,1,9,NC,Female,Bachelor degree,White,Rural community,71,Republican Party,2666263
R_3LXS1DXJlBgCEjh,50-55,3,6,7,CT,Female,Graduate degree,White,Suburban community,48,Democratic party,3346386
R_3G1vebCerrYsOPY,90-10,9,1,2.5,TN,Female,Some college but no degree,White,Rural community,37,Republican Party,1677220
R_OKiDYbnGI93NG0N,50-55,7.3,2.2,4,PA,Female,Associate degree,Asian,Suburban community,35,Republican Party,3976870
R_2S6yODz0WP89RX7,100-20,4,3,7.6,GA,Female,Graduate degree,Black or African-American,Suburban community,48,Democratic party,8170258
R_XBtOy1zgGwOwp5D,70-40,6,4.1,8.2,MS,Male,Some college but no degree,White,Suburban community,27,Republican Party,1484856
R_1HksxaWhrbGVmcO,100-20,1,8.1,5.7,UT,Male,Bachelor degree,White,Suburban community,39,Democratic party,4408708
R_1dj2elE7ZP9YR7N,50-55,7,4,8,LA,Female,Graduate degree,White,City or urban community,38,Democratic party,1346103
R_1eFQUm12CwA8Rnb,100-20,9,4.3,4.5,ID,Male,Some college but no degree,White,Rural community,61,Republican Party,4386905
R_2E6qGLDA89ceQww,90-10,4.1,6.5,7,TX,Male,Bachelor degree,White,Suburban community,69,Republican Party,6072005
R_vi5b9Cs65svfUOJ,90-10,6.9,7.4,7.9,CA,Female,"High school degree or equivalent (e.g., GED)",White,Rural community,34,Republican Party,6272389
R_1Q5VNY9Gg0MJb3w,90-10,8,2,9,ND,Female,"High school degree or equivalent (e.g., GED)","White,Black or African-American",City or urban community,18,Independent,3609044
R_1OoRYf2WHoxt53G,70-40,3.3,4.4,7.5,NJ,Female,Graduate degree,White,Suburban community,32,Republican Party,3888686
R_3iniCtvzPGAehp8,100-20,9,3,9,IL,Male,Bachelor degree,White,Suburban community,30,Democratic party,2641663
R_2zARxsM5nz1GieF,70-40,7,3.9,9,CO,Male,Some college but no degree,White,City or urban community,41,Libertarian Party,3568642
R_UlpXRLMA1xOKNIB,90-10,9,2,9,FL,Female,Graduate degree,"White,Black or African-American",City or urban community,65,Independent,1991014
R_rkmxV6QQ81QuDPX,50-55,6.1,6.6,6.7,OR,Male,Associate degree,White,Rural community,44,Libertarian Party,9500119
R_1j9h8tKsTJrfbeG,100-20,1,9,1,PA,Female,"High school degree or equivalent (e.g., GED)",White,City or urban community,51,Democratic party,5337492
R_3dPQVfiQtV54QBk,50-55,3.4,4.2,6.9,NC,Male,Bachelor degree,Asian,Suburban community,38,Democratic party,1370420
R_3GqEgANxVC4XPt1,70-40,1,9,4,MI,Male,Some college but no degree,White,Suburban community,31,Independent,8175636
R_28MUJUf5xyKkDL9,70-40,5.9,6,6.1,NY,Female,Bachelor degree,White,Rural community,36,Republican Party,383989
R_1ig0Wpll0k2k9fC,50-55,7.7,3.6,3.6,AR,Female,Graduate degree,White,Rural community,61,Green,340043
