StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID172807553,MTurk ID,70-40_1,70-40_2,70-40_3,100-20_1,100-20_2,100-20_3,50-55_1,50-55_2,50-55_3,90-10_1,90-10_2,90-10_3,D1,D2,D2_2_TEXT,D3,D4,D4_8_TEXT,D5,D5_4_TEXT,D6,D7,D7_5_TEXT,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID172807553""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_2_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_8_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_5_TEXT""}","{""ImportId"":""mTurkCode""}"
2018-03-18 9:05:31,2018-03-18 9:06:31,IP Address,100,59,TRUE,2018-03-18 9:06:32,R_3Pzzh6gC8Sd7Ns8,anonymous,EN,"I consent, begin the study",A353YBC5NVBDN2,,,,,,,5.6,3.9,7.3,,,,california,Male,,Graduate degree,White,,City or urban community,,30,"Other (please specify):,Independent",,5325715
2018-03-18 9:05:30,2018-03-18 9:06:42,IP Address,100,72,TRUE,2018-03-18 9:06:43,R_1mqOnyyJ1XG9xSc,anonymous,EN,"I consent, begin the study",A340UGIDGIF4W6,,,,,,,,,,7.1,6.2,7.5,PENNSYLVANIA,Female,,Associate degree,White,,Suburban community,,43,Independent,,5665828
2018-03-18 9:06:35,2018-03-18 9:07:39,IP Address,100,63,TRUE,2018-03-18 9:07:40,R_DpMPwTZkdRmI6rv,anonymous,EN,"I consent, begin the study",A2OWB1RTZD98ZO,6.6,7.9,9,,,,,,,,,,Missouri,Male,,Some college but no degree,White,,Rural community,,20,Republican Party,,1835464
2018-03-18 9:05:47,2018-03-18 9:07:56,IP Address,100,128,TRUE,2018-03-18 9:07:57,R_2QiAqlCTTatdXlz,anonymous,EN,"I consent, begin the study",A3P5O9M9G3O61Y,,,,3,6,7.5,,,,,,,Pennsylvania,Female,,Bachelor degree,White,,Suburban community,,38,Independent,,4664415
2018-03-18 9:06:24,2018-03-18 9:08:02,IP Address,100,97,TRUE,2018-03-18 9:08:02,R_DIuuPyMhWhEpkD7,anonymous,EN,"I consent, begin the study",A2MWOC8THMPE6C,,,,,,,,,,8.8,1.4,9,Texas,Male,,Some college but no degree,"Spanish, Hispanic, or Latino",,Suburban community,,48,Republican Party,,5184555
2018-03-18 9:05:45,2018-03-18 9:08:07,IP Address,100,142,TRUE,2018-03-18 9:08:08,R_1IiS7cWgLd4vXPO,anonymous,EN,"I consent, begin the study",A2BEC2FXO2NEV2,,,,1,1,1,,,,,,,MS,Female,,Associate degree,Black or African-American,,City or urban community,,46,Democratic party,,1250926
2018-03-18 9:06:46,2018-03-18 9:08:24,IP Address,100,98,TRUE,2018-03-18 9:08:25,R_9uzufUelFx2Wbu1,anonymous,EN,"I consent, begin the study",A26ZENZ5G8AEGM,,,,,,,1.9,8.2,8.2,,,,Pennsylvania,Female,,Graduate degree,White,,Suburban community,,59,Democratic party,,1166128
2018-03-18 9:06:54,2018-03-18 9:08:42,IP Address,100,107,TRUE,2018-03-18 9:08:43,R_1lfvruLOHqKnVsg,anonymous,EN,"I consent, begin the study",A3HZ8JZAJB124J,,,,,,,,,,9,3.8,6.5,PA,Female,,Associate degree,White,,Suburban community,,47,Republican Party,,6912792
2018-03-18 9:07:26,2018-03-18 9:08:51,IP Address,100,85,TRUE,2018-03-18 9:08:52,R_3RmzdhlTse4osMZ,anonymous,EN,"I consent, begin the study",A31J3022SQPIMW,,,,,,,1,9,7.2,,,,Missouri,Female,,Some college but no degree,White,,Suburban community,,27,Democratic party,,5014176
