StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID172807553,MTurk ID,7040_1,7040_2,7040_3,10020_1,10020_2,10020_3,5550_1,5550_2,5550_3,9010_1,9010_2,9010_3,Feedback,D1,D2,D2_2_TEXT,D3,D4,D4_8_TEXT,D5,D5_4_TEXT,D6,D7,D7_5_TEXT,mTurkCode
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Participation is voluntary
It is your choice whether or not to participate in this research.  If you choose to participate, you may change your mind and leave the study at any time.  Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.


What is the purpose of this research?
The purpose of this research is to understand the fairness perceptions of different people.   
How long will I take part in this research?
Your participation will take approximately 2 minutes.


What can I expect if I take part in this research?
As a participant, you will be presented with some scenarios. Decisions will be made in each scenario. You will be asked to indicate to what extent you consider that decision to be fair. 


What are the risks and possible discomforts?
There are no anticipated risks from participating in this study. 


If I take part in this research, how will my privacy be protected? What happens to the information you collect? 
No identifying information about you will be stored. The data collected will be stored securely. 


If I have any questions, concerns or complaints about this research study, who can I talk to?
The researcher for this study is Prof. D. C. Parkes who can be reached at Maxwell Dworkin 229, 33 Oxford St, Cambridge, MA 02138, fairnessmachine@gmail.com.

If you have questions, concerns, or complaints,
If you would like to talk to the research team,
If you think the research has harmed you, or 
If you wish to withdraw from the study. 



This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University.  They can be reached at 617-496-2847, 1350 Massachusetts Avenue, 9th Floor, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:

If your questions, concerns, or complaints are not being answered by the research team,
If you cannot reach the research team,
If you want to talk to someone besides the research team, or
If you have questions about your rights as a research participant.



Statement of Consent
By clicking on the ""I consent, begin the study"" option you confirm that you have read and understood the above, are an adult (that is, are 18 years old or older), and that you agree to take part in this research. Your participation is voluntary and you are free to leave the experiment at any time by simply closing the web browser.",Please enter your MTurk ID:,"There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  70%40%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to give all the money ($50,000) to Person A.","There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  70%40%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to split the money 50/50 between the two candidates, giving $25,000 to Person A and $25,000 to Person B.","There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  70%40%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to give Person A $31,818, which is proportional to that person's payback rate of 70%, and give Person B $18,181, which is proportional to that person's payback rate of 40%.","There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  100%20%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to give all the money ($50,000) to Person A.","There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  100%20%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to split the money 50/50 between the two candidates, giving $25,000 to Person A and $25,000 to Person B.","There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  100%20%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to give Person A $41,666, which is proportional to that person's payback rate of 100%, and give Person B $8,333, which is proportional to that person's payback rate of 20%.","There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  55%50%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to give all the money ($50,000) to Person A.","There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  55%50%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to split the money 50/50 between the two candidates, giving $25,000 to Person A and $25,000 to Person B.","There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  55%50%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to give Person A $26,190, which is proportional to that person's payback rate of 55%, and give Person B $23,809, which is proportional to that person's payback rate of 50%.","There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  90%10%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to give all the money ($50,000) to Person A.","There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  90%10%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to split the money 50/50 between the two candidates, giving $25,000 to Person A and $25,000 to Person B.","There are two candidates – Person A and Person B, they are identical in every way, except their race and loan repayment rates. Both of them have applied for a $50,000 loan to start a business, and the loan officer only has $50,000.

Person APerson BGenderMaleMaleRaceWhiteBlackIndividual loan repayment rate  90%10%Amount requested$50,000$50,000


To what extent do you think the following decisions are fair? For each decision, please indicate how fair you think the decision is by dragging the slider bar to a point on the line, where 1 means ""not fair at all"", and 9 means ""completely fair”. - The loan officer has decided to give Person A $45,000, which is proportional to that person's payback rate of 90%, and give Person B $5,000, which is proportional to that person's payback rate of 10%.","Do you have any feedback for us? If yes, please enter it in the textbox below.    For example, was some unclear or confusing?",Which state do you live in?,Do you identify as: - Selected Choice,Do you identify as: - Other (please specify): - Text,What is the highest level of school you have completed or the highest degree you have received?,Do you identify as: - Selected Choice,Do you identify as: - Other (please specify): - Text,In what type of community do you live? - Selected Choice,In what type of community do you live? - Other (please specify): - Text,What is your age?,Which political party do you identify: - Selected Choice,Which political party do you identify: - Other (please specify): - Text,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID172807553""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_2_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_8_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_5_TEXT""}","{""ImportId"":""mTurkCode""}"
4/19/18 14:00,4/19/18 14:01,IP Address,100,43,TRUE,4/19/18 14:01,R_3LZ3idB7sQvGnjo,anonymous,EN,"I consent, begin the study",AXP41GGYZKAN6,6.1,6.6,6,,,,,,,,,,no,nc,Female,,"High school degree or equivalent (e.g., GED)",Black or African-American,,Rural community,,29,Democratic party,,5106294
4/19/18 14:01,4/19/18 14:02,IP Address,100,52,TRUE,4/19/18 14:02,R_vNcg3VjmeKbhXDr,anonymous,EN,"I consent, begin the study",A136SBQYT4RFKX,,,,,,,5.6,7.2,5.1,,,,,illinois,Male,,Bachelor degree,White,,Suburban community,,28,Democratic party,,3709674
4/19/18 14:01,4/19/18 14:02,IP Address,100,60,TRUE,4/19/18 14:02,R_3G1TvlHFeXt85m6,anonymous,EN,"I consent, begin the study",A1PP6DN7HB6Q9P,,,,9,3.3,8.3,,,,,,,,Florida,Male,,Associate degree,Black or African-American,,Suburban community,,26,Democratic party,,648071
4/19/18 14:00,4/19/18 14:02,IP Address,100,88,TRUE,4/19/18 14:02,R_2rISgkYptlcalhV,anonymous,EN,"I consent, begin the study",AYHP1BNAYFYQD,,,,5,2.9,9,,,,,,,,California,Female,,Graduate degree,White,,City or urban community,,26,Democratic party,,1173047
4/19/18 14:01,4/19/18 14:02,IP Address,100,62,TRUE,4/19/18 14:02,R_3I9SkBza0EVCXCu,anonymous,EN,"I consent, begin the study",A14GHC1CURH2V7,2.5,5.2,4.6,,,,,,,,,,,MO,Male,,Associate degree,White,,Suburban community,,39,Republican Party,,8551478
4/19/18 14:01,4/19/18 14:02,IP Address,100,78,TRUE,4/19/18 14:02,R_NUsUuQE0z4YZIiZ,anonymous,EN,"I consent, begin the study",A2309F1W6LTPF6,,,,6.4,6.3,6.2,,,,,,,no thanks,New Jersey,Female,,Graduate degree,White,,Suburban community,,26,Democratic party,,219630
4/19/18 14:00,4/19/18 14:02,IP Address,100,110,TRUE,4/19/18 14:02,R_31twkBK4p08HQLS,anonymous,EN,"I consent, begin the study",A3HOBJ4PJUOCUN,7,5,7,,,,,,,,,,no issues,Pennsylvania,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,57,Independent,,4379901
4/19/18 14:01,4/19/18 14:02,IP Address,100,103,TRUE,4/19/18 14:02,R_1H7gcGu2unux0Uq,anonymous,EN,"I consent, begin the study",A1SGIACNC9DUV3,,,,,,,,,,1.8,6.2,7.1,,AK,Female,,Associate degree,White,,City or urban community,,41,Independent,,8310561
