ResponseId,7040_1,7040_2,7040_3,10020_1,10020_2,10020_3,5550_1,5550_2,5550_3,9010_1,9010_2,9010_3,State,Gender,D2_2_TEXT,Education,Race,D4_8_TEXT,Community,D5_4_TEXT,Age,Political Affiliation,D7_5_TEXT
R_3LZ3idB7sQvGnjo,6.1,6.6,6,,,,,,,,,,nc,Female,,"High school degree or equivalent (e.g., GED)",Black or African-American,,Rural community,,29,Democratic party,
R_vNcg3VjmeKbhXDr,,,,,,,5.6,7.2,5.1,,,,illinois,Male,,Bachelor degree,White,,Suburban community,,28,Democratic party,
R_3G1TvlHFeXt85m6,,,,9,3.3,8.3,,,,,,,Florida,Male,,Associate degree,Black or African-American,,Suburban community,,26,Democratic party,
R_2rISgkYptlcalhV,,,,5,2.9,9,,,,,,,California,Female,,Graduate degree,White,,City or urban community,,26,Democratic party,
R_3I9SkBza0EVCXCu,2.5,5.2,4.6,,,,,,,,,,MO,Male,,Associate degree,White,,Suburban community,,39,Republican Party,
R_NUsUuQE0z4YZIiZ,,,,6.4,6.3,6.2,,,,,,,New Jersey,Female,,Graduate degree,White,,Suburban community,,26,Democratic party,
R_31twkBK4p08HQLS,7,5,7,,,,,,,,,,Pennsylvania,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,57,Independent,
R_1H7gcGu2unux0Uq,,,,,,,,,,1.8,6.2,7.1,AK,Female,,Associate degree,White,,City or urban community,,41,Independent,
R_ykjDGk1056N1Bu1,,,,,,,,,,2,7.8,7,Kentucky,Male,,Bachelor degree,White,,Suburban community,,36,Democratic party,
R_Uo9zBdTEIDF5L0t,,,,3.1,4.1,7.8,,,,,,,AZ,Female,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,43,Independent,
R_1g60SeXNVkQ6nXb,,,,,,,1,9,9,,,,Florida,Female,,Associate degree,White,,Suburban community,,44,Republican Party,
R_1obzLKXT53vscgm,,,,,,,1,5,1,,,,Ohio,Female,,Some college but no degree,White,,City or urban community,,52,Democratic party,
R_2fCoQPAQm9usshI,5,6.5,8,,,,,,,,,,Colorado,Female,,Bachelor degree,White,,Rural community,,40,Republican Party,
R_2WujhAAnNNA1dUi,6,6.3,5.9,,,,,,,,,,New York,Male,,Some college but no degree,White,,Suburban community,,19,Democratic party,
R_Doe34OijiCvSlzj,,,,,,,,,,7.4,4,7.7,PA,Female,,Graduate degree,White,,Suburban community,,30,Democratic party,
R_3DubGCHyB3pTgDI,,,,,,,,,,1,5,1.6,IL,Female,,Bachelor degree,White,,Suburban community,,48,Republican Party,
R_22sNqmvHecl7lW9,4.8,5.8,5.7,,,,,,,,,,Arizona,Male,,Some college but no degree,White,,Suburban community,,27,Democratic party,
R_3izlLQk6BoyxP7H,,,,,,,1,7.7,6.5,,,,Washington,Female,,Some college but no degree,"Asian,Asian-American",,City or urban community,,20,"Libertarian Party,Independent",
R_3gSLcwf76zGflrh,,,,,,,,,,8.1,3.5,9,Mi,Female,,Bachelor degree,White,,Rural community,,25,"Libertarian Party,Independent",
R_3iyt1LiWQMNyxpR,,,,5.9,4.3,7.3,,,,,,,MN,Male,,Bachelor degree,White,,Rural community,,20,Republican Party,
R_1pYAbgEgpfavzxJ,,,,,,,,,,6.5,7.2,7.8,MI,Female,,Bachelor degree,White,,City or urban community,,24,Democratic party,
R_3D541iMx50Ll4tl,,,,2,9,2.5,,,,,,,California,Female,,Bachelor degree,White,,Suburban community,,27,Democratic party,
R_1onJ38ATqTc9xSr,,,,,,,,,,7.5,4,7.6,NY,Male,,Bachelor degree,White,,Suburban community,,29,Republican Party,
R_bCOLnxVKsl110Jj,,,,,,,7.2,8.9,9,,,,North Carolina,Female,,Bachelor degree,White,,Suburban community,,48,Independent,
R_PGIGh8wze37FDkB,,,,,,,,,,2.7,9,8.1,NJ,Female,,Associate degree,White,,Suburban community,,44,Democratic party,
R_3qZDthTRC9gVNQy,,,,,,,4,8.5,9,,,,California,Female,,Graduate degree,White,,Suburban community,,51,Democratic party,
R_1EZJM6bw5q3Uv3h,7.5,3,7.5,,,,,,,,,,Idaho,Female,,Some college but no degree,White,,City or urban community,,39,Democratic party,
R_1K9XUMf7lCBXfWN,6,4.1,8,,,,,,,,,,WA,Female,,Associate degree,White,,Suburban community,,25,Democratic party,
R_ulEa4VKcRVKlPdn,,,,,,,9,9,9,,,,MICHIGAN,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,58,Democratic party,
R_2aE9Bmo6ePRVWVD,,,,,,,,,,9,2.3,9,NC,Female,,Some college but no degree,White,,Rural community,,66,Independent,
R_YYACUEwCIdg7lst,5.6,3.1,8.3,,,,,,,,,,Washington,Male,,Some college but no degree,White,,Suburban community,,25,Democratic party,
R_2ZKdj987J5bppMm,,,,,,,1.1,5,5.3,,,,California,Female,,Bachelor degree,Asian,,Suburban community,,23,Democratic party,
R_3lXrsE31gY8mrnq,,,,,,,1,9,9,,,,CA,Male,,Bachelor degree,"Spanish, Hispanic, or Latino",,City or urban community,,40,Democratic party,
R_R8DKeCF4bho8aKR,4,1,9,,,,,,,,,,illinois,Female,,Graduate degree,White,,Rural community,,40,Republican Party,
R_0P1fDhp4NXfZtsZ,,,,,,,,,,5.8,3.5,6.2,Ga,Female,,Bachelor degree,White,,Suburban community,,29,Democratic party,
R_3F2mEaQKik1xoUG,,,,,,,,,,1,9,1,md,Female,,Bachelor degree,Asian,,City or urban community,,24,Democratic party,
R_2P72iTr91reOaJ9,,,,3.2,6.6,7.7,,,,,,,Massachusetts,Male,,Graduate degree,White,,Suburban community,,35,Democratic party,
R_71Zm50vWYksdelX,,,,3,4,7,,,,,,,Pennsylvania,Female,,Graduate degree,Black or African-American,,City or urban community,,41,Democratic party,
