ResponseId,7040_1,7040_2,7040_3,10020_1,10020_2,10020_3,5550_1,5550_2,5550_3,9010_1,9010_2,9010_3,State,Gender,D2_2_TEXT,Education,Race,D4_8_TEXT,Community,D5_4_TEXT,D6,D7,D7_5_TEXT
R_ZE8HgMyyG0qftSN,,,,,,,6.4,5.7,7.4,,,,,,,,,,,,,,
R_1LhDzDlQLQ9UCIc,,,,2.7,6.9,8.1,,,,,,,Pennsylvania,Male,,Graduate degree,White,,City or urban community,,26,Libertarian Party,
R_3nk3uQMAuSZbXeC,,,,9,1,1.3,,,,,,,FL,Female,,Some college but no degree,White,,Suburban community,,24,Independent,
R_2tndB1Kb74AUAEu,,,,,,,,,,1,9,1,TN,Female,,Some college but no degree,Black or African-American,,City or urban community,,24,Independent,
R_2CEaBld21LJmwqV,1.6,8.2,1.5,,,,,,,,,,Maryland,Female,,Graduate degree,White,,Suburban community,,35,Democratic party,
R_3q8WDLwHb8QqY1H,,,,8.3,2.7,6.9,,,,,,,Louisiana,Male,,Bachelor degree,White,,City or urban community,,35,Democratic party,
R_TdgkNhuJWKXEfip,,,,,,,,,,8.6,2.5,6.8,California,Female,,Bachelor degree,White,,City or urban community,,26,Democratic party,
R_pbd8lxthrFU2fLP,7,4,9,,,,,,,,,,Idaho,Female,,Some college but no degree,White,,Rural community,,24,Democratic party,
R_w7eUqhIueGhww2l,,,,,,,5.1,7.4,6.7,,,,wisconsin,Female,,Bachelor degree,White,,City or urban community,,27,Republican Party,
R_2v7HlCMgX6ZOmfO,1.1,3.5,7.4,,,,,,,,,,florida,Male,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,35,Republican Party,
R_1OZHd39R1TPKvV7,,,,,,,,,,9,1,9,PA,Female,,Bachelor degree,Black or African-American,,City or urban community,,32,Democratic party,
R_2Yx2yRpDoj5Q8Rq,,,,,,,4.6,3.9,1,,,,NC,Male,,Associate degree,White,,City or urban community,,28,Independent,
R_1N9O7kE9WpI4rl7,,,,,,,7.2,9,8,,,,usa,Male,,Bachelor degree,Black or African-American,,Suburban community,,30,Republican Party,
R_2zOagrY4qNQdpQ7,,,,,,,,,,1,8.4,2.9,Missouri,Female,,Some college but no degree,White,,City or urban community,,30,Republican Party,
R_1Qoo6SkCnTZmeXR,,,,,,,4.5,5.5,5.7,,,,ny,Female,,Bachelor degree,White,,Suburban community,,36,Republican Party,
R_3smLmKhY5ecw1br,,,,9,1,3.1,,,,,,,NC,Female,,Bachelor degree,White,,Suburban community,,57,Republican Party,
