flags,source_doc_id,source_element_id,source_type,target_doc_id,target_element_id,target_type,score,score2,margin12,text_jaccard,caption_jaccard,target_top1_indegree,source_caption,target_caption
high_score_low_overlap|hub_target,1906.02589,1906.02589_figure_2,figure,1802.08139,1802.08139_figure_17,figure,0.926296,0.924812,0.001484,0.046154,0.0,16,"Figure 2. Fairness-accuracy tradeoff curves, DSpritesUnfair dataset. We sweep a range of hyperparameters for each model and report Pareto fronts. Optimal point is the top left hand corner — this represents perfect acc...",(a)
high_score_low_overlap|hub_target,1802.08139,1802.08139_figure_17,figure,1906.02589,1906.02589_figure_2,figure,0.926296,0.918055,0.008241,0.046154,0.0,13,(a),"Figure 2. Fairness-accuracy tradeoff curves, DSpritesUnfair dataset. We sweep a range of hyperparameters for each model and report Pareto fronts. Optimal point is the top left hand corner — this represents perfect acc..."
high_score_low_overlap|hub_target,1805.11202,1805.11202_table_3,table,1810.08683,1810.08683_table_21,table,0.925234,0.91954,0.005694,0.037037,0.0,12,Table 3: Risk differences in classifiers and classification accuracies on various training and testing settings,
high_score_low_overlap|hub_target,2109.03952,2109.03952_figure_3,figure,1906.02589,1906.02589_figure_2,figure,0.923688,0.911165,0.012523,0.035211,0.02439,13,Figure 3: Accuracy vs parity curves for UCI Adult and Heritage Health datasets.,"Figure 2. Fairness-accuracy tradeoff curves, DSpritesUnfair dataset. We sweep a range of hyperparameters for each model and report Pareto fronts. Optimal point is the top left hand corner — this represents perfect acc..."
low_top1_margin|hub_target,1603.07025,1603.07025_figure_13,figure,2005.07293,2005.07293_figure_8,figure,0.903654,0.903175,0.000479,0.75,0.0,16,(c) 2010 cohort,(c) β = 0.9
low_top1_margin|hub_target,1809.10083,1809.10083_figure_15,figure,1802.08139,1802.08139_figure_17,figure,0.902277,0.901536,0.000741,0.068376,0.0,16,(a),(a)
low_top1_margin|hub_target,2109.03952,2109.03952_table_3,table,1810.08683,1810.08683_table_2,table,0.899845,0.899067,0.000778,0.075269,0.0625,12,Table 3: Adult results on post-processing approach from Hardt et al. vs our attention method when all problematic features are zeroed out.,Table 2: COMPAS dataset: statistics with reference to the sensitive features. Table 3: Adult Dataset: confusion matrices in percentage (true class in columns and predicted classes in rows) obtained by predicting Gende...
low_top1_margin|hub_target,1803.04383,1803.04383_figure_15,figure,1804.06876,1804.06876_figure_2,figure,0.89709,0.896453,0.000637,0.6,0.0,34,selection rate,Type 2
low_top1_margin|hub_target,1805.11202,1805.11202_figure_25,figure,1802.08139,1802.08139_figure_17,figure,0.894794,0.893893,0.000901,0.096774,0.0,16,5.4 Parameter Sensitivity,(a)
low_top1_margin|hub_target,1808.08166,1808.08166_figure_14,figure,1906.02589,1906.02589_figure_2,figure,0.893611,0.892696,0.000915,0.077586,0.0,13,(a),"Figure 2. Fairness-accuracy tradeoff curves, DSpritesUnfair dataset. We sweep a range of hyperparameters for each model and report Pareto fronts. Optimal point is the top left hand corner — this represents perfect acc..."
low_top1_margin|hub_target,2103.11320,2103.11320_figure_35,figure,1804.06876,1804.06876_figure_2,figure,0.88913,0.889106,2.4e-05,0.6,0.0,34,female-negative sentiment,Type 2
low_top1_margin|hub_target,1805.11202,1805.11202_figure_23,figure,1703.06856,1703.06856_figure_5,figure,0.885267,0.884984,0.000283,0.061538,0.0,14,"(k) SYN4-FairGAN: $P _ { \mathrm { d a t a } } ( \mathbf { x } , y | s = 1 )$ vs. $P _ { G } ( \mathbf { x } , y | s = 1 )$",Level 2
low_top1_margin|hub_target,1905.10674,1905.10674_table_3,table,1810.08683,1810.08683_table_2,table,0.884267,0.883347,0.00092,0.083333,0.023256,12,"Table 3. Ability to predict sensitive attributes on the Freebase15k-237 data when using various embedding approaches. AUC scores are reported, since all the sensitive attributes are binary. The mean rank on the main e...",Table 2: COMPAS dataset: statistics with reference to the sensitive features. Table 3: Adult Dataset: confusion matrices in percentage (true class in columns and predicted classes in rows) obtained by predicting Gende...
low_top1_margin|hub_target,1805.11202,1805.11202_figure_22,figure,1802.08139,1802.08139_figure_17,figure,0.879132,0.879132,0.0,0.048387,0.0,16,"(j) SYN4-FairGAN: $P _ { \mathrm { { d a t a } } } ( \mathbf { x } , y )$ vs. $P _ { G } ( \mathbf { x } , y )$",(a)
low_top1_margin|hub_target,1707.09457,1707.09457_figure_1,figure,1906.02589,1906.02589_figure_17,figure,0.867999,0.867138,0.000861,0.089286,0.0,31,"Figure 1: Five example images from the imSitu visual semantic role labeling (vSRL) dataset. Each image is paired with a table describing a situation: the verb, cooking, its semantic roles, i.e agent, and noun values f...",(a) a = C
low_top1_margin|hub_target,1901.10436,1901.10436_figure_6,figure,1906.02589,1906.02589_figure_17,figure,0.859619,0.858718,0.000901,0.045455,0.0,31,(d) Figure 6: Illustration of how (a) diversity and (b) evenness varies for a uniform distribution compared to how (c) diversity and (d) evenness varies for a random distribution.,(a) a = C
low_top1_margin|hub_target,1902.03519,1902.03519_table_3,table,1810.08683,1810.08683_table_2,table,0.85749,0.857358,0.000132,0.047619,0.0,12,"Table 3: The performance of our algorithm on all points in each dataset. We provide the runtime of both fairlet decomposition and the whole clustering process. Since Census dataset is not $( 1 , 2 )$ - balanced, we pi...",Table 2: COMPAS dataset: statistics with reference to the sensitive features. Table 3: Adult Dataset: confusion matrices in percentage (true class in columns and predicted classes in rows) obtained by predicting Gende...
low_top1_margin|hub_target,1409.0575,1409.0575_figure_32,figure,1804.06876,1804.06876_figure_2,figure,0.842652,0.842202,0.00045,0.75,0.0,34,letteropener (59),Type 2
low_top1_margin|hub_target,1901.10436,1901.10436_table_11,table,2005.07293,2005.07293_table_6,table,0.827419,0.826541,0.000878,0.051546,0.0,11,Table 11 gives the formula for computing the ITA values for each pixel in the masked face region. Table 11: Coding scheme 6 measures skin color using Individual Typology Angle (ITA) [3].,Table 6: Architecture of model used in our experiments.
low_top1_margin|hub_target,1409.0575,1409.0575_figure_59,figure,1804.06876,1804.06876_figure_2,figure,0.825315,0.824839,0.000476,0.6,0.0,34,dog (84) snowplow (80),Type 2
hub_target,1610.02413,1610.02413_figure_5,figure,1703.06856,1703.06856_figure_5,figure,0.943236,0.923097,0.020139,0.069307,0.0,14,Figure 5: Graphical model for Scenario II.,Level 2
high_score_low_overlap,2103.11320,2103.11320_table_21,table,1809.02208,1809.02208_table_13,table,0.936154,0.883738,0.052416,0.028846,0.0,1,,
high_score_low_overlap,1809.02208,1809.02208_table_13,table,2103.11320,2103.11320_table_21,table,0.936154,0.799021,0.137133,0.028846,0.0,1,,
hub_target,1703.06856,1703.06856_figure_6,figure,1804.06876,1804.06876_figure_2,figure,0.934738,0.911451,0.023287,0.75,0.0,34,Level 3,Type 2
low_top1_margin,1810.08683,1810.08683_table_21,table,2005.07293,2005.07293_table_23,table,0.927247,0.927097,0.00015,0.055556,0.0,1,,
hub_target,2005.07293,2005.07293_table_23,table,1810.08683,1810.08683_table_21,table,0.927247,0.923923,0.003324,0.055556,0.0,12,,
hub_target,2005.07293,2005.07293_table_19,table,1810.08683,1810.08683_table_21,table,0.927097,0.92429,0.002807,0.055556,0.0,12,,
hub_target,2109.03952,2109.03952_table_6,table,1810.08683,1810.08683_table_21,table,0.925389,0.915169,0.01022,0.118644,0.0,12,,
hub_target,2005.07293,2005.07293_table_21,table,1810.08683,1810.08683_table_21,table,0.925336,0.923643,0.001693,0.055556,0.0,12,,
hub_target,1805.11202,1805.11202_figure_1,figure,1906.02589,1906.02589_figure_2,figure,0.924812,0.918886,0.005926,0.060345,0.0,13,Figure 1: Illustration of generative adversarial networks,"Figure 2. Fairness-accuracy tradeoff curves, DSpritesUnfair dataset. We sweep a range of hyperparameters for each model and report Pareto fronts. Optimal point is the top left hand corner — this represents perfect acc..."
