flags,source_doc_id,source_element_id,source_type,target_doc_id,target_element_id,target_type,score,score2,margin12,text_jaccard,caption_jaccard,target_top1_indegree,source_caption,target_caption
high_score_low_overlap|hub_target,2109.03952,2109.03952_figure_3,figure,1610.02413,1610.02413_figure_18,figure,0.911165,0.890834,0.020331,0.054545,0.043478,6,Figure 3: Accuracy vs parity curves for UCI Adult and Heritage Health datasets.,"We proposed a fairness measure that accomplishes two important desiderata. First, it remedies the main conceptual shortcomings of demographic parity as a fairness notion. Second, it is fully"
low_top1_margin|hub_target,1910.10872,1910.10872_figure_65,figure,1409.0575,1409.0575_figure_21,figure,0.860556,0.903577,-0.043021,0.6,0.0,6,Flair,stingray (100)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_59,figure,1409.0575,1409.0575_figure_30,figure,0.847293,0.895132,-0.047839,0.5,0.0,8,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_26,figure,1409.0575,1409.0575_figure_30,figure,0.847217,0.894601,-0.047384,0.5,0.0,8,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_27,figure,1409.0575,1409.0575_figure_30,figure,0.847217,0.894601,-0.047384,0.5,0.0,8,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_28,figure,1409.0575,1409.0575_figure_30,figure,0.847217,0.894601,-0.047384,0.5,0.0,8,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_49,figure,1409.0575,1409.0575_figure_30,figure,0.847132,0.894344,-0.047212,0.5,0.0,8,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_54,figure,1409.0575,1409.0575_figure_30,figure,0.847132,0.894344,-0.047212,0.5,0.0,8,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_72,figure,1409.0575,1409.0575_figure_30,figure,0.847003,0.895168,-0.048165,0.5,0.0,8,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_74,figure,1409.0575,1409.0575_figure_30,figure,0.847003,0.895168,-0.048165,0.5,0.0,8,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_58,figure,1409.0575,1409.0575_figure_21,figure,0.843839,0.889858,-0.046019,0.5,0.0,6,Medium Spacy,stingray (100)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_64,figure,1409.0575,1409.0575_figure_21,figure,0.843839,0.889858,-0.046019,0.5,0.0,6,Medium Spacy,stingray (100)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_53,figure,1409.0575,1409.0575_figure_21,figure,0.843568,0.889363,-0.045795,0.5,0.0,6,Medium Spacy,stingray (100)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_70,figure,1409.0575,1409.0575_figure_21,figure,0.843357,0.889502,-0.046145,0.5,0.0,6,Medium Spacy,stingray (100)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_48,figure,1409.0575,1409.0575_figure_21,figure,0.842793,0.889079,-0.046286,0.5,0.0,6,Medium Spacy,stingray (100)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_3,figure,1707.09457,1707.09457_figure_4,figure,0.816374,0.849251,-0.032877,0.06,0.0,7,CoreNLP 0.040 0Figure 3: Results from different models over the 139-year history of baby names from the census data on different error types 0.020.031875 1895 1915 1935 1955 1975 1995 2015 1875 1895 1915 1935 1955 197...,(a) Bias analysis on imSitu vSRL without RBA
high_score_low_overlap,2103.11320,2103.11320_table_21,table,1809.02208,1809.02208_table_13,table,0.936154,0.883738,0.052416,0.028846,0.0,1,,
high_score_low_overlap,1809.02208,1809.02208_table_13,table,2103.11320,2103.11320_table_21,table,0.936154,0.777025,0.159129,0.028846,0.0,3,,
hub_target,2005.07293,2005.07293_figure_1,figure,1610.02413,1610.02413_figure_18,figure,0.919811,0.865267,0.054544,0.058252,0.086957,6,Figure 1: Notion of equality in fairness is depicted and formalized along with our newly formalized notion of equity.,"We proposed a fairness measure that accomplishes two important desiderata. First, it remedies the main conceptual shortcomings of demographic parity as a fairness notion. Second, it is fully"
hub_target,1804.06876,1804.06876_table_5,table,1904.03035,1904.03035_table_1,table,0.917883,0.923863,-0.00598,0.1,0.0,8,,Table 1: Experimental results for Penn Treebank and generated text for different $\lambda$ values
hub_target,1409.0575,1409.0575_figure_8,figure,1804.06876,1804.06876_figure_2,figure,0.916514,0.867018,0.049496,0.75,0.0,8,Accuracy: 1,Type 2
hub_target,1409.0575,1409.0575_figure_9,figure,1804.06876,1804.06876_figure_2,figure,0.916514,0.867018,0.049496,0.75,0.0,8,Accuracy: 1,Type 2
hub_target,1409.0575,1409.0575_figure_15,figure,1804.06876,1804.06876_figure_2,figure,0.915147,0.869419,0.045728,0.6,0.0,8,Image classification,Type 2
hub_target,1808.08166,1808.08166_figure_1,figure,1610.02413,1610.02413_figure_18,figure,0.9136,0.884269,0.029331,0.058252,0.047619,6,"Figure 1: Fairness Gerrymandering: A Toy Example [Kearns et al., 2018]","We proposed a fairness measure that accomplishes two important desiderata. First, it remedies the main conceptual shortcomings of demographic parity as a fairness notion. Second, it is fully"
hub_target,2005.07293,2005.07293_table_17,table,1904.03035,1904.03035_table_1,table,0.908355,0.91954,-0.011185,0.16,0.0,8,,Table 1: Experimental results for Penn Treebank and generated text for different $\lambda$ values
high_score_low_overlap,1906.02589,1906.02589_formula_1,formula,1703.06856,1703.06856_formula_2,formula,0.906937,0.906047,0.00089,0.043478,0.0,5,,
