flags,source_doc_id,source_element_id,source_type,target_doc_id,target_element_id,target_type,score,score2,margin12,text_jaccard,caption_jaccard,target_top1_indegree,source_caption,target_caption
high_score_low_overlap|hub_target,2109.03952,2109.03952_figure_3,figure,1610.02413,1610.02413_figure_18,figure,0.911165,0.890834,0.020331,0.054545,0.043478,6,Figure 3: Accuracy vs parity curves for UCI Adult and Heritage Health datasets.,"We proposed a fairness measure that accomplishes two important desiderata. First, it remedies the main conceptual shortcomings of demographic parity as a fairness notion. Second, it is fully"
low_top1_margin|hub_target,1910.10872,1910.10872_figure_59,figure,1409.0575,1409.0575_figure_30,figure,0.847293,0.895132,-0.047839,0.5,0.0,6,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_28,figure,1409.0575,1409.0575_figure_30,figure,0.847217,0.894601,-0.047384,0.5,0.0,6,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_49,figure,1409.0575,1409.0575_figure_30,figure,0.847132,0.894344,-0.047212,0.5,0.0,6,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_54,figure,1409.0575,1409.0575_figure_30,figure,0.847132,0.894344,-0.047212,0.5,0.0,6,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_72,figure,1409.0575,1409.0575_figure_30,figure,0.847003,0.895168,-0.048165,0.5,0.0,6,Large Spacy,ladle (65)
low_top1_margin|hub_target,1910.10872,1910.10872_figure_74,figure,1409.0575,1409.0575_figure_30,figure,0.847003,0.895168,-0.048165,0.5,0.0,6,Large Spacy,ladle (65)
hub_target,1611.07509,1611.07509_figure_4,figure,1611.07438,1611.07438_figure_2,figure,0.936632,0.894751,0.041881,0.353659,0.217391,6,"Figure 4: Causal network for Dutch dataset: the green path represents the direct path, and the blue paths represent the indirect paths passing through marital status.","Figure 2: Causal graph for Adult dataset: the red node represents the protected attribute, the blue node represents the decision, the green nodes represent set Q."
high_score_low_overlap,2103.11320,2103.11320_table_21,table,1809.02208,1809.02208_table_13,table,0.936154,0.883738,0.052416,0.028846,0.0,1,,
high_score_low_overlap,1809.02208,1809.02208_table_13,table,2103.11320,2103.11320_table_21,table,0.936154,0.789997,0.146157,0.028846,0.0,3,,
high_score_low_overlap,1810.08683,1810.08683_table_21,table,2005.07293,2005.07293_table_23,table,0.927247,0.925234,0.002013,0.055556,0.0,4,,
hub_target,1804.06876,1804.06876_figure_1,figure,1804.09301,1804.09301_figure_4,figure,0.923086,0.909995,0.013091,0.089109,0.07767,7,"Figure 1: Pairs of gender balanced co-reference tests in the WinoBias dataset. Male and female entities are marked in solid blue and dashed orange, respectively. For each example, the gender of the pronominal referenc...",Figure 4: These two plots show how gender bias in coreference systems corresponds with occupational gender statistics from the U.S Bureau of Labor Statistics (left) and from text as computed by Bergsma and Lin (2006)...
hub_target,1409.0575,1409.0575_figure_10,figure,1804.06876,1804.06876_figure_2,figure,0.921033,0.886336,0.034697,0.75,0.0,10,Accuracy: 0,Type 2
hub_target,1809.02208,1809.02208_table_7,table,1804.06876,1804.06876_table_1,table,0.920161,0.880899,0.039262,0.101266,0.093023,6,"Table 7: Percentage of female, male and neutral gender pronouns obtained for each of the merged occupation category, averaged over all occupations in said category and tested languages detailed in Table","Table 1: Occupations statistics used in WinoBias dataset, organized by the percent of people in the occupation who are reported as female. When woman dominate profession, we call linking the noun phrase referring to t..."
hub_target,2005.07293,2005.07293_figure_1,figure,1610.02413,1610.02413_figure_18,figure,0.919811,0.892765,0.027046,0.058252,0.086957,6,Figure 1: Notion of equality in fairness is depicted and formalized along with our newly formalized notion of equity.,"We proposed a fairness measure that accomplishes two important desiderata. First, it remedies the main conceptual shortcomings of demographic parity as a fairness notion. Second, it is fully"
hub_target,1611.07509,1611.07509_figure_3,figure,1611.07438,1611.07438_figure_2,figure,0.916592,0.87632,0.040272,0.141304,0.272727,6,"Figure 3: Causal network for Adult dataset: the green path represents the direct path, and the blue paths represent the indirect paths passing through marital status.","Figure 2: Causal graph for Adult dataset: the red node represents the protected attribute, the blue node represents the decision, the green nodes represent set Q."
hub_target,1409.0575,1409.0575_figure_8,figure,1804.06876,1804.06876_figure_2,figure,0.916514,0.909815,0.006699,0.75,0.0,10,Accuracy: 1,Type 2
hub_target,1409.0575,1409.0575_figure_9,figure,1804.06876,1804.06876_figure_2,figure,0.916514,0.909815,0.006699,0.75,0.0,10,Accuracy: 1,Type 2
